
('benjamin', 6.3016194754118215)
('aiation', 8.699514748210191)
('britt', 13.049272122315287)
('kato', 8.699514748210191)
('themistokles', 8.006367567650246)
('xerxes', 8.006367567650246)
('persian', 6.907755278982137)
('smurfs', 8.006367567650246)
('gargamel', 8.006367567650246)
('illage', 4.55638002181866)
('smurfette', 13.049272122315287)
('naughties', 13.049272122315287)
('smurfs', 12.00955135147537)
('boxer', 6.060457418594933)
('watney', 8.699514748210191)
('lincoln', 9.753435256310958)
('randall', 7.090076835776092)
('maximus', 21.74878687052548)
('commodus', 8.699514748210191)
('gladiator', 7.600902459542082)
('marcus', 5.991464547107982)
('roman', 5.703782474656201)
('aenge', 5.703782474656201)
('battle', 5.563623242147184)
('death', 4.847181910612591)
('anderton', 8.699514748210191)
('chiffre', 8.699514748210191)
('poker', 6.907755278982137)
('game', 6.14151684333315)
('sarah', 5.866301404153976)
('hooer', 7.600902459542082)
('public', 5.233778845410465)
('heroin', 6.3016194754118215)
('greg', 9.595394482824219)
('gamble', 8.699514748210191)
('highsmith', 8.699514748210191)
('hoitz', 8.699514748210191)
('danson', 8.699514748210191)
('tattoos', 8.006367567650246)
('detecties', 5.991464547107982)
('guys', 5.035953102080546)
('theyre', 4.55638002181866)
('kruger', 8.699514748210191)
('quasi', 8.006367567650246)
('kuzco', 13.049272122315287)
('kuzcos', 8.699514748210191)
('pacha', 8.699514748210191)
('accidentally', 4.72922283465807)
('gates', 7.090076835776092)
('two-face', 13.049272122315287)
('riddler', 8.699514748210191)
('future', 5.944974449723545)
('distant', 5.866301404153976)
('aggies', 8.699514748210191)
('owls', 8.006367567650246)
('souls', 5.866301404153976)
('train', 4.692181562977721)
('siler', 6.396929655216146)
('barney', 17.269388197455342)
('expendables', 15.201804919084164)
('stonebanks', 12.00955135147537)
('blood', 5.2030071867437115)
('mask', 6.753604599154879)
('whale', 6.396929655216146)
('moon', 6.060457418594933)
('anubis', 8.699514748210191)
('bracelet', 8.699514748210191)
('alex', 5.367310238034988)
('allon', 8.699514748210191)
('butcher', 7.600902459542082)
('engeance', 5.5640205322810425)
('seek', 4.915325114291931)
('pictures', 5.991464547107982)
('stepford', 8.699514748210191)
('dorado', 8.006367567650246)
('nemo', 8.006367567650246)
('seenth', 8.006367567650246)
('spook', 8.006367567650246)
('percy', 7.600902459542082)
('black', 6.439193251418908)
('earth', 5.464903414292826)
('preent', 4.915325114291931)
('terrorist', 4.892852258439873)
