
('poet', 2.981646835070643)
('tamil', 2.7977844450079843)
('century', 2.302585092994046)
('mass', 3.387111943178807)
('ceremony', 3.3282204253506156)
('fairchild', 4.080259123738752)
('lunatic', 3.622113757801675)
('spell', 3.3282204253506156)
('asylum', 3.144358035287957)
('long', 2.1242476210246797)
('emerson', 4.080259123738752)
('unlike', 3.387111943178807)
('rookie', 3.144358035287957)
('apparent', 3.0405383528988343)
('womans', 2.981646835070643)
('suicide', 2.2114243145970685)
('inestigatie', 3.622113757801675)
('youngster', 3.387111943178807)
('thriller', 2.63507324479067)
('search', 2.0248221916520968)
('sacrifice', 3.1073040492110957)
('womens', 3.0728076134676203)
('rebel', 3.1073040492110957)
('loyal', 2.981646835070643)
('challenges', 2.8378057988447525)
('faces', 2.379660432907675)
('ex-con', 3.275540167521702)
('choice', 2.709839111776152)
('newspaperman', 3.622113757801675)
('struggle', 2.4416867572426644)
('middle', 2.4141568686511508)
('ruthless', 2.3244864043232423)
('caught', 2.2484783006739293)
('power', 2.217412410120426)
('jesse', 3.144358035287957)
('outlaw', 2.63507324479067)
('james', 2.188164306779622)
('destitute', 3.530952979404698)
('prem', 2.904571495157014)
('communist', 3.1073040492110957)
('agents', 2.5347378970595944)
('west', 2.379660432907675)
('goinda', 4.080259123738752)
('girls', 2.1714029607603003)
('established', 3.275540167521702)
('neighbors', 2.954613224435505)
('obsere', 3.8775265696846706)
('journalist', 2.3966112087455156)
('english', 2.2816029934445297)
('arries', 2.165938425494205)
('censorship', 4.080259123738752)
('reporters', 3.3282204253506156)
('pursue', 2.621373757696613)
('fantasy', 3.22788507761954)
('animated', 3.22788507761954)
('trael', 2.3097794617200953)
('adenture', 2.3097794617200953)
('land', 2.0904182967877722)
('children', 2.0289374412203545)
('tables', 3.530952979404698)
('actors', 3.275540167521702)
('wait', 3.184379389124725)
('restaurant', 2.8590856060541503)
('comedydrama', 3.8775265696846706)
('genre', 3.622113757801675)
('comic', 2.6785789332854852)
('music', 2.2234730903865985)
('stages', 3.144358035287957)
('problem', 2.49123220856478)
('studio', 2.8590856060541503)
('malaysia', 3.8775265696846706)
('hunters', 2.981646835070643)
('centers', 2.709839111776152)
('game', 2.2484783006739293)
('tailor', 3.8775265696846706)
('rises', 3.010226041990617)
('small-town', 2.881311487339567)
('general', 2.5823929869617572)
('blackmailers', 3.7336855334587797)
('crimson', 3.622113757801675)
('circle', 3.1073040492110957)
('blackmailer', 3.7336855334587797)
('clutches', 3.22788507761954)
('rescue', 2.165938425494205)
('respectable', 3.275540167521702)
('position', 3.1073040492110957)
('amateur', 3.1073040492110957)
('iolent', 2.570046680666571)
('trail', 2.570046680666571)
('suspicion', 2.8378057988447525)
('aoid', 2.7789142810165606)
('trouble', 2.188164306779622)
('ends', 2.0372709674629603)
('spiritual', 3.4538776394910684)
('happiness', 2.8590856060541503)
('honest', 2.5235014691335653)
('person', 2.4141568686511508)
('backgrounds', 3.4538776394910684)
('social', 2.4512108547280116)
('punks', 4.080259123738752)
('entanglements', 4.080259123738752)
('pure', 3.4538776394910684)
('jamuna', 3.8775265696846706)
('murali', 3.22788507761954)
('krishna', 2.760730458931123)
('maharaja', 4.080259123738752)
('troops', 3.1073040492110957)
('kidnapped', 2.2954927754980674)
('behaiour', 3.387111943178807)
('cope', 3.22788507761954)
('manager', 2.4141568686511508)
('struggles', 2.3097794617200953)
('star', 2.0248221916520968)
('matchmaker', 3.7336855334587797)
('play', 2.2748001674166405)
('trip', 2.1769278788535926)
('groom', 3.184379389124725)
('madness', 3.144358035287957)
('perfect', 2.6785789332854852)
('dreams', 2.1938786546914333)
('innocent', 2.4416867572426644)
('student', 4.0496443833041935)
('actiist', 3.3282204253506156)
('shared', 3.3282204253506156)
('apartment', 2.693964762618862)
